name,pubCode,description,startDate,endDate
"biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01T00:00:00Z,
"biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01T00:00:00Z,
"biophysicalCriteria","drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met - no photo taken","Conditions at photo point do not support image collection (e.g., localized flooding)",2012-01-01T00:00:00Z,
"biophysicalCriteria","date outside peak green","Sample collected outside of prescribed peak green window",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: sampled after fish","Sampling does not reflect the target biophysical conditions, benthic sampling occurred after benthos was disturbed during seasonal fish sampling",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: outside bout window","Sampling or data collection does not reflect the target biophysical conditions that indicate seasonality, including temperature, flow regime, and riparian greenness",2012-01-01T00:00:00Z,
"biophysicalCriteria","Qualifying material < 50% of plot area, sampling criteria not met","Herbaceous vegetation at the plot is not of sufficient cover to merit sampling",2012-01-01T00:00:00Z,
"div.divDataType","plantSpecies","plantSpecies",2012-01-01T00:00:00Z,
"div.divDataType","otherVariables","otherVariables",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. species","Roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. species","Similar to, but is not the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. genus","Roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. genus","Similar to, but is not the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. subspecies","Roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. subspecies","Similar to, but is not the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. family","Roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. family","Similar to, but is not the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. variety","Roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. variety","Similar to, but is not the variety",2012-01-01T00:00:00Z,
"div.otherVariables","soil","Exposed/bare rganic or inorganic particles < 5 mm diameter and physical soil crusts",2012-01-01T00:00:00Z,
"div.otherVariables","rock","Inorganic particles >= 5 mm diameter",2012-01-01T00:00:00Z,
"div.otherVariables","wood","Woody, organic material >= 5 mm on the ground or leaning > 45 degrees",2012-01-01T00:00:00Z,
"div.otherVariables","litter","Unrooted organic material lying on the ground < 5 mm",2012-01-01T00:00:00Z,
"div.otherVariables","standingDead","Standing dead material not severed from the original source of growth",2012-01-01T00:00:00Z,2020-01-01T00:00:00Z
"div.otherVariables","water","Standing or flowing water",2012-01-01T00:00:00Z,
"div.otherVariables","lichen","Lichen living on rock, wood material, or litter",2012-01-01T00:00:00Z,
"div.otherVariables","moss","Mosses, liverworts, and hornworts living on rock, wood material, or litter",2012-01-01T00:00:00Z,
"div.otherVariables","otherNonVascular","Other non vascular organisms that donâ€™t fit into other non vascular categories",2012-01-01T00:00:00Z,
"div.otherVariables","scat","Animal, record species if possible",2012-01-01T00:00:00Z,
"div.otherVariables","overstory","Cover of canopy",2012-01-01T00:00:00Z,2020-01-01T00:00:00Z
"div.otherVariables","other","Trash, shells, bones, carcass, etc.",2012-01-01T00:00:00Z,
"div.otherVariables","standingDeadWoody","Standing dead woody material not severed from the original source of growth",2012-01-01T00:00:00Z,
"div.otherVariables","standingDeadHerbaceous","Standing herbaceous material not severed from the original source of growth",2012-01-01T00:00:00Z,
"div.otherVariables","biocrustLichen","Lichen living and stabilizing mineral soil (not on rock, litter, or wood)",2021-01-01T00:00:00Z,
"div.otherVariables","biocrustMoss","Mosses, liverworts, and hornworts stabilizing mineral soil (not on rock, litter, or wood)",2021-01-01T00:00:00Z,
"div.otherVariables","biocrustDarkCyanobacteria","Darkly pigmented cyanobacteria species living and stabilizing mineral soil ",2021-01-01T00:00:00Z,
"div.otherVariables","biocrustLightCyanobacteria","Lightly pigmented cyanobacteria species living and stabilizing mineral soil ",2021-01-01T00:00:00Z,
"div.otherVariables","fungi","Fungus, macrofungi, mushrooms, or mycelium",2021-01-01T00:00:00Z,
"div.plantCondition","Live","Live",2012-01-01T00:00:00Z,
"div.plantCondition","Live, insect damaged","Live, insect damaged",2012-01-01T00:00:00Z,
"div.plantCondition","Live, disease damaged","Live, disease damaged",2012-01-01T00:00:00Z,
"div.plantCondition","Live, physically damaged","Live, physically damaged",2012-01-01T00:00:00Z,
"div.plantCondition","Live, other damage","Live, other damage",2012-01-01T00:00:00Z,
"div.samplingProtocolVersion","NEON.DOC.014042vA","NEON.DOC.014042vA",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vB","NEON.DOC.014042vB",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vC","NEON.DOC.014042vC",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vD","NEON.DOC.014042vD",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vE","NEON.DOC.014042vE",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vF","NEON.DOC.014042vF",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vG","NEON.DOC.014042vG",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vH","NEON.DOC.014042vH",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vJ","NEON.DOC.014042vJ",2012-01-01T00:00:00Z,2021-01-01T00:00:00Z
"div.samplingProtocolVersion","NEON.DOC.014042vK","NEON.DOC.014042vK",2012-01-01T00:00:00Z,
"div.samplingProtocolVersion","NEON.DOC.014042vL","NEON.DOC.014042vL",2012-01-01T00:00:00Z,
"div.samplingProtocolVersion","NEON.DOC.014042vM","NEON.DOC.014042vM",2022-01-01T00:00:00Z,
"div.subplotID","31.1.1","31.1.1",2012-01-01T00:00:00Z,
"div.subplotID","31.1.10","31.1.10",2012-01-01T00:00:00Z,
"div.subplotID","31.4.1","31.4.1",2012-01-01T00:00:00Z,
"div.subplotID","31.4.10","31.4.10",2012-01-01T00:00:00Z,
"div.subplotID","31","31",2012-01-01T00:00:00Z,
"div.subplotID","32.2.1","32.2.1",2012-01-01T00:00:00Z,
"div.subplotID","32.2.10","32.2.10",2012-01-01T00:00:00Z,
"div.subplotID","32.4.1","32.4.1",2012-01-01T00:00:00Z,
"div.subplotID","32.4.10","32.4.10",2012-01-01T00:00:00Z,
"div.subplotID","32","32",2012-01-01T00:00:00Z,
"div.subplotID","40.1.1","40.1.1",2012-01-01T00:00:00Z,
"div.subplotID","40.1.10","40.1.10",2012-01-01T00:00:00Z,
"div.subplotID","40.3.1","40.3.1",2012-01-01T00:00:00Z,
"div.subplotID","40.3.10","40.3.10",2012-01-01T00:00:00Z,
"div.subplotID","40","40",2012-01-01T00:00:00Z,
"div.subplotID","41.1.1","41.1.1",2012-01-01T00:00:00Z,
"div.subplotID","41.1.10","41.1.10",2012-01-01T00:00:00Z,
"div.subplotID","41.4.1","41.4.1",2012-01-01T00:00:00Z,
"div.subplotID","41.4.10","41.4.10",2012-01-01T00:00:00Z,
"div.subplotID","41","41",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Emergent","Emergent",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Seedling","Seedling",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Budding","Budding",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Flowering","Flowering",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Fruiting","Fruiting",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Flowering and fruiting","Flowering and fruiting",2012-01-01T00:00:00Z,
"div.voucherLifeStage","Senescing","Senescing",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
